Afiseaza toti angajatii,2020-04-30 17:10:41.009
Afiseaza toate rezervarile in ordinea adaugarii,2020-04-30 17:10:41.87
Afiseaza toate serviciile,2020-04-30 17:10:42.857
Genereaza raport casieri,2020-04-30 17:10:44.742
Genereaza raport mecanici,2020-04-30 17:10:47.144
Genereaza raport servicii mecanica,2020-04-30 17:10:49.428
Afiseaza toti angajatii,2020-05-01 11:36:41.044
Afiseaza toate serviciile,2020-05-01 11:36:45.438
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-01 11:36:50.372
Afiseaza toti angajatii sortati dupa nume,2020-05-01 11:36:57.569
Afiseaza rezervarile in ordinea datei,2020-05-01 11:37:31.619
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-01 11:37:41.883
Afiseaza rezervarile in ordinea datei,2020-05-01 11:37:44.99
